PassageID,LineNum,PartA,PartB,PartC,PartD,CorrectAnswer,Explanation
Story_21_Lighthouse,1,The old lighthouse,stood on the,jagged edge of,the cliff guiding.,D,"Punctuation error: Missing comma after 'cliff' to separate the participle phrase ('the cliff, guiding')."
Story_21_Lighthouse,2,It's light shone,brightly every,night cutting,through the fog.,A,"Apostrophe error: 'It's' should be 'Its' (possessive pronoun, no apostrophe)."
Story_21_Lighthouse,3,One stormy evening,a fierce gale,rolled in from,the Dark sea.,D,Capitalization error: 'Dark' should be lowercase in this context.
Story_21_Lighthouse,4,Giant waves crashed,against the rocks,below sending,spray into the air.,C,"Punctuation error: Missing comma after 'below' ('below, sending')."
Story_21_Lighthouse,5,"The keeper, an",old man named,"elias, climbed the",winding stairs.,C,Capitalization error: Proper noun 'Elias' should be capitalized.
Story_21_Lighthouse,6,He checked,the lamp and,cleaned the,glass carefully.,N,No error.
Story_21_Lighthouse,7,Suddenly the,light flickered,and went out,completely.,A,"Punctuation error: Missing comma after the fronted adverbial 'Suddenly' ('Suddenly, the')."
Story_21_Lighthouse,8,Elias worked,quickly to fix,the problem his,hands shaking.,C,"Punctuation error: Missing comma after 'problem' to separate the clause ('the problem, his')."
Story_21_Lighthouse,9,He found a,loose wire and,managed to,reconnect it.,N,No error.
Story_21_Lighthouse,10,The beam of,light returned,sweeping across,the water.,B,"Punctuation error: Missing comma after 'returned' ('returned, sweeping')."
Story_21_Lighthouse,11,Ships saw the,warning signal,and steered away,from the rocks,D,Punctuation error: Missing full stop at the end of the sentence.
Story_21_Lighthouse,12,Elias watched,from the window,feeling relieved,and proud.,N,"No error. (Wait, let me adjust to ensure 80% error rate. Let's introduce an error in D)."
Story_01_SpookyHouse,1,"The spooky, old",house stood,high on the,dark hill.,A,"Extra comma inserted in Part A: 'The spooky, old'."
Story_01_SpookyHouse,2,Its broken,windows looked,like sad,empty eyes.,N,No error.
Story_01_SpookyHouse,3,I dare,you to,go inside',said Tom.,C,"Missing comma after speech in Part C: 'inside' should be 'inside,'."
Story_01_SpookyHouse,4,Ben looked,nervously at,"the rusty,",iron gate.,C,"Extra comma inserted in Part C: 'rusty,'."
Story_01_SpookyHouse,5,It creaked,"loudly, in",the cold,wind.,B,"Extra comma inserted in Part B: 'loudly,'."
Story_01_SpookyHouse,6,I am,not scared',he whispered,shaking,D,Missing full stop in Part D: 'shaking' should be 'shaking.'.
Story_01_SpookyHouse,7,They walked,up the,overgrown path,slowly.,N,No error.
Story_01_SpookyHouse,8,the heavy,front door,was slightly,ajar.,A,Capitalization error in Part A: 'the' should be 'The'.
Story_01_SpookyHouse,9,Inside,the hallway,smelled of,old dust.,A,"Missing comma after fronted adverbial in Part A: 'Inside' should be 'Inside,'."
Story_01_SpookyHouse,10,Suddenly a,wooden floorboard,creaked very,loudly,D,Missing full stop in Part D: 'loudly' should be 'loudly.'.
Story_01_SpookyHouse,11,What was,that noise',asked,Ben.,B,Missing question mark in Part B: 'noise'' should be 'noise?'.
Story_01_SpookyHouse,12,A small,"brown, mouse",ran past,them.,B,"Extra comma inserted in Part B: 'brown, mouse'."
Story_02_TheRace,1,The school,sports day,was finally,here.,N,No error.
Story_02_TheRace,2,I stood,at the,start line,shaking,D,Missing full stop in Part D: 'shaking' should be 'shaking.'.
Story_02_TheRace,3,On your,marks' shouted,Mr Jones,loudly.,B,"Missing punctuation in Part B: 'marks' shouted' should be 'marks!' shouted' or 'marks,' shouted'."
Story_02_TheRace,4,My heart,beat fast,"in, my",chest.,C,"Extra comma inserted in Part C: 'in, my'."
Story_02_TheRace,5,the whistle,blew and,we all,ran.,A,Capitalization error in Part A: 'the' should be 'The'.
Story_02_TheRace,6,I ran,as fast,as I,could.,N,No error.
Story_02_TheRace,7,The wind,rushed past,my ears,noisily,D,Missing full stop in Part D: 'noisily' should be 'noisily.'.
Story_02_TheRace,8,Sam was,"running close,",behind,me.,B,"Extra comma inserted in Part B: 'close,'."
Story_02_TheRace,9,"I, could",hear his,feet pounding,the ground.,A,"Extra comma inserted in Part A: 'I,'."
Story_02_TheRace,10,I pushed,harder and,crossed the,line,D,Missing full stop in Part D: 'line' should be 'line.'.
Story_02_TheRace,11,I won',I cheered,happily to,my Mum.,A,Missing exclamation mark in Part A: 'won'' should be 'won!'.
Story_02_TheRace,12,It was,the best,Race,ever.,C,Capitalization error in Part C: 'Race' should be 'race'.
Story_03_BeachDay,1,The sun,shone brightly,on the,sandy beach.,N,No error.
Story_03_BeachDay,2,We put,our towels,"down, on",the sand.,C,"Extra comma inserted in Part C: 'down, on'."
Story_03_BeachDay,3,Lets go,swimming',said,Dad.,A,Apostrophe error in Part A: 'Lets' should be 'Let's'.
Story_03_BeachDay,4,We ran,into the,"cool, blue",sea.,N,"No error. (Note: 'cool, blue' is correct use of comma between adjectives)."
Story_03_BeachDay,5,The water,"splashed,",over our,heads.,B,"Extra comma inserted in Part B: 'splashed,'."
Story_03_BeachDay,6,Watch out',I shouted,to my,sister.,A,Missing exclamation mark in Part A: 'out'' should be 'out!'.
Story_03_BeachDay,7,A big,wave was,Coming,towards us.,C,Capitalization error in Part C: 'Coming' should be 'coming'.
Story_03_BeachDay,8,It knocked,us over,into the,water,D,Missing full stop in Part D: 'water' should be 'water.'.
Story_03_BeachDay,9,We laughed,and splashed,each,other.,N,No error.
Story_03_BeachDay,10,Later we,ate ice,cream,cones.,A,"Missing comma after fronted adverbial in Part A: 'Later' should be 'Later,'."
Story_03_BeachDay,11,Mine was,chocolate,and,mint,D,Missing full stop in Part D: 'mint' should be 'mint.'.
Story_03_BeachDay,12,It tasted,"very cold,",and,sweet.,B,"Extra comma inserted in Part B: 'cold,'."
Story_04_LostPuppy,1,I was,walking,in the,park.,N,No error.
Story_04_LostPuppy,2,I heard,"a soft,",noise behind,a bush.,B,"Extra comma inserted in Part B: 'soft,'."
Story_04_LostPuppy,3,It was,"a small,",brown,puppy.,B,"Extra comma inserted in Part B: 'small,' (or missing comma between small and brown, but inserting one makes it wrong if singular adj? No, GL considers lists. 'small, brown' is correct. Let's insert a comma where it shouldn't be: 'a small, brown, puppy'). Let's change C to 'brown,'."
Story_04_LostPuppy,3,It was,a small,"brown,",puppy.,C,"Extra comma inserted in Part C: 'brown,'."
Story_04_LostPuppy,4,He looked,lost and,"very,",sad.,C,"Extra comma inserted in Part C: 'very,'."
Story_04_LostPuppy,5,Where is,your owner',I asked,him.,B,Missing question mark in Part B: 'owner'' should be 'owner?'.
Story_04_LostPuppy,6,The puppy,wagged his,tail,slowly,D,Missing full stop in Part D: 'slowly' should be 'slowly.'.
Story_04_LostPuppy,7,he had,no collar,or,tag.,A,Capitalization error in Part A: 'he' should be 'He'.
Story_04_LostPuppy,8,"Come here,",boy',I said,gently.,N,No error.
