Question,Image,Option A,Option B,Option C,Option D,Option E,Answer,Difficulty,Topic,Type,Ref
Which value does the 9 in 38594 represent?,,90,90000,9,9000,900,90,1,Place Value,Multiple Choice,P2Q1_1
Which value does the 1 in 87816 represent?,,100,1000,10000,10,1,10,1,Place Value,Multiple Choice,P2Q1_2
Which value does the 3 in 37745 represent?,,3000,300,3,30000,30,30000,1,Place Value,Multiple Choice,P2Q1_3
Which value does the 5 in 44459 represent?,,50000,5,500,50,5000,50,1,Place Value,Multiple Choice,P2Q1_4
Which value does the 6 in 67028 represent?,,60000,6000,6,60,600,60000,1,Place Value,Multiple Choice,P2Q1_5
Which value does the 6 in 63879 represent?,,60000,6000,60,6,600,60000,1,Place Value,Multiple Choice,P2Q1_6
Which value does the 5 in 42795 represent?,,5000,50,50000,5,500,5,1,Place Value,Multiple Choice,P2Q1_7
Which value does the 5 in 59979 represent?,,5000,50000,500,5,50,50000,1,Place Value,Multiple Choice,P2Q1_8
Which value does the 8 in 85216 represent?,,80,8,8000,80000,800,80000,1,Place Value,Multiple Choice,P2Q1_9
Which value does the 6 in 65394 represent?,,600,6,6000,60,60000,60000,1,Place Value,Multiple Choice,P2Q1_10
Which value does the 5 in 85216 represent?,,50000,5000,500,5,50,50000,1,Place Value,Multiple Choice,P2Q1_11
Which value does the 3 in 42537 represent?,,30,3000,300,3,30000,30,1,Place Value,Multiple Choice,P2Q1_12
Which value does the 1 in 88431 represent?,,1000,10,100,10000,1,1,1,Place Value,Multiple Choice,P2Q1_13
Which value does the 3 in 17631 represent?,,30000,3000,300,3,30,30,1,Place Value,Multiple Choice,P2Q1_14
Which value does the 9 in 49047 represent?,,900,90000,9000,9,90,9000,1,Place Value,Multiple Choice,P2Q1_15
Which value does the 2 in 27089 represent?,,20,200,2,2000,20000,20000,1,Place Value,Multiple Choice,P2Q1_16
Which value does the 4 in 70884 represent?,,4000,40,4,400,40000,4,1,Place Value,Multiple Choice,P2Q1_17
Which value does the 7 in 97423 represent?,,7000,70000,7,70,700,7000,1,Place Value,Multiple Choice,P2Q1_18
Which value does the 2 in 27591 represent?,,20,200,2000,2,20000,20000,1,Place Value,Multiple Choice,P2Q1_19
Which value does the 4 in 69274 represent?,,4000,400,40000,40,4,4,1,Place Value,Multiple Choice,P2Q1_20
Which value does the 1 in 31060 represent?,,100,10,10000,1000,1,1000,1,Place Value,Multiple Choice,P2Q1_21
Which value does the 6 in 67917 represent?,,6,6000,60,60000,600,60000,1,Place Value,Multiple Choice,P2Q1_22
Which value does the 5 in 83475 represent?,,50,500,50000,5,5000,5,1,Place Value,Multiple Choice,P2Q1_23
Which value does the 2 in 61253 represent?,,20000,2,200,20,2000,200,1,Place Value,Multiple Choice,P2Q1_24
Which value does the 4 in 45276 represent?,,40000,40,4000,4,400,40000,1,Place Value,Multiple Choice,P2Q1_25
Which value does the 7 in 53897 represent?,,7000,700,7,70,70000,7,1,Place Value,Multiple Choice,P2Q1_26
Which value does the 1 in 16058 represent?,,10000,1000,100,10,1,10000,1,Place Value,Multiple Choice,P2Q1_27
Which value does the 4 in 30246 represent?,,40,400,4,4000,40000,40,1,Place Value,Multiple Choice,P2Q1_28
Which value does the 2 in 32175 represent?,,2,200,20,20000,2000,2000,1,Place Value,Multiple Choice,P2Q1_29
