id,image_file_name,correct_answer,explanation,difficulty_level
NVR_FA_001,question_1_style.png,B,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_002,question_2_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_003,question_3_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_004,question_4_style.png,A,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_005,question_5_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_006,question_6_rotation.png,E,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_007,question_7_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_008,question_8_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_009,question_9_rotation.png,C,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_010,question_10_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_011,question_11_composite.png,B,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_012,question_12_rotation.png,B,The rule is a rotation. The first shape rotates 90 degrees clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_013,question_13_style.png,E,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_014,question_14_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_015,question_15_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_016,question_16_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_017,question_17_composite.png,E,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_018,question_18_rotation.png,C,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_019,question_19_style.png,E,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_020,question_20_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_021,question_21_rotation.png,C,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_022,question_22_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_023,question_23_composite.png,D,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_024,question_24_rotation.png,A,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_025,question_25_style.png,A,The rule is a change in shading. The white shape becomes solid black.,Medium
NVR_FA_026,question_26_composite.png,A,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_027,question_27_rotation.png,C,The rule is a rotation. The first shape rotates 180 degrees to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_028,question_28_style.png,B,The rule is a change in line style. The solid outline changes to a dashed outline.,Medium
NVR_FA_029,question_29_composite.png,C,"The rule is an inversion of position. The outer shape becomes the inner shape, and the inner shape becomes the outer shape.",Hard
NVR_FA_030,question_30_rotation.png,D,The rule is a rotation. The first shape rotates 90 degrees anti-clockwise to become the second shape. Applying this to the third shape gives the answer.,Easy
NVR_FA_031,question_31_style.png,D,The rule is a change in shading. The white shape becomes solid black.,Medium
