QuestionID,PartA,PartB,PartC,PartD,CorrectAnswer,Explanation,,,,,
Spelling_001,The absence of,fresh water was,a serious problem,for the travellers.,N,No error.,,,14,65,19
Spelling_002,There was an,abundence of food,at the wedding,reception yesterday.,B,Error: 'abundence' should be 'abundance' (ance).,,,12,63,20
Spelling_003,The new library,is fully accesable,to people using,wheelchairs now.,B,Error: 'accesable' should be 'accessible' (ible).,,,15,64,18
Spelling_004,I accidently dropped,the expensive vase,on the kitchen,floor today.,A,Error: 'accidently' should be 'accidentally' (ally).,,,12,64,20
Spelling_005,The hotel could,not accommodate all,the guests during,the festival.,N,No error.,,,13,64,19
Spelling_006,I will accompany,you to the,station to make,sure you arrive.,N,No error.,,,10,57,16
Spelling_007,According to the,weather forecast it,will rain heavily,tomorrow morning.,N,No error.,,,16,69,19
Spelling_008,He worked hard,to acheive his,goal of becoming,a doctor.,B,Error: 'acheive' should be 'achieve' (i before e).,,,9,53,16
Spelling_009,We ran accross,the muddy field,to catch the,last bus home.,A,Error: 'accross' should be 'across' (one c).,,,12,55,15
Spelling_010,Please write your,home adress clearly,on the back,of the envelope.,B,Error: 'adress' should be 'address' (double d).,,,11,63,19
Spelling_011,The dog became,very agressive when,the postman walked,up the path.,B,Error: 'agressive' should be 'aggressive' (double g).,,,12,63,19
Spelling_012,He is an,amature photographer who,likes taking photos,of birds.,B,Error: 'amature' should be 'amateur' (eur).,,,8,60,24
Spelling_013,The ancient ruins,were discovered by,a team of,archaeologists.,N,No error.,,,9,59,18
Spelling_014,It became apparant,that we had,taken the wrong,turning earlier.,A,Error: 'apparant' should be 'apparent' (ent).,,,11,60,18
Spelling_015,His apperance was,very neat and,tidy for the,job interview.,A,Error: 'apperance' should be 'appearance' (ear).,,,12,56,17
Spelling_016,I really appreciate,all the help,you have given,me today.,N,No error.,,,9,54,19
Spelling_017,The arguement between,the two brothers,lasted for over,an hour.,A,Error: 'arguement' should be 'argument' (no e).,,,8,60,21
Spelling_018,The young athalete,ran faster than,anyone else in,the race.,A,Error: 'athalete' should be 'athlete' (thl).,,,9,56,18
Spelling_019,Basicly I do,not want to,go to the,party tonight.,A,Error: 'Basicly' should be 'Basically' (ally).,,,9,46,14
Spelling_020,At the begining,of the film,the hero was,very poor.,A,Error: 'begining' should be 'beginning' (double n).,,,10,48,15
Spelling_021,I truely beleive,that he is,telling the truth,about it.,A,"Error: 'beleive' should be 'believe' (ie) AND 'truely' is wrong but 'beleive' is in A. Wait, 'truely' is also error. Let's fix A to 'I truly beleive'. A has error beleive.",,,9,52,17
Spelling_021_REV,I truly beleive,that he is,telling the truth,about it.,A,Error: 'beleive' should be 'believe' (ie).,,,9,51,17
Spelling_022,I ate a,chocolate biscut with,my cup of,tea today.,B,Error: 'biscut' should be 'biscuit' (cuit).,,,7,47,21
Spelling_023,It was a,bizzare situation to,be in given,the circumstances.,B,"Error: 'bizzare' should be 'bizarre' (one z, double r).",,,8,57,20
Spelling_024,The cricket boundry,was marked with,a long white,rope.,A,Error: 'boundry' should be 'boundary' (ary).,,,5,51,19
Spelling_025,Take a deep,breath and try,to calm down,right now.,N,No error.,,,10,47,14
Spelling_026,I can breathe,much better now,that the window,is open.,N,No error.,,,8,51,15
Spelling_027,The fireworks display,was briliant and,lit up the,night sky.,B,Error: 'briliant' should be 'brilliant' (double l).,,,10,57,21
Spelling_028,I ate all,my brocoli because,it is good,for me.,B,Error: 'brocoli' should be 'broccoli' (double c).,,,7,44,18
Spelling_029,The small buisness,grew rapidly into,a large global,company.,A,Error: 'buisness' should be 'business' (usi).,,,8,57,18
Spelling_030,I checked the,calender to see,when the school,holidays start.,B,Error: 'calender' should be 'calendar' (dar).,,,13,58,15
Spelling_031,The team captians,shook hands before,the match started,today.,A,Error: 'captians' should be 'captains' (tain).,,,6,58,18
Spelling_032,She chose a,carrer in medicine,because she likes,helping people.,B,Error: 'carrer' should be 'career' (reer).,,,11,61,18
Spelling_033,The Carribean sea,is warm and,clear all year,round.,A,"Error: 'Carribean' should be 'Caribbean' (one r, double b).",,,6,48,17
Spelling_034,Which catagory does,this book belong,in on the,shelf?,A,Error: 'catagory' should be 'category' (teg).,,,6,50,19
Spelling_036,The cieling was,painted white to,make the room,look bigger.,A,Error: 'cieling' should be 'ceiling' (ei).,,,12,56,16
Spelling_037,The old cemetary,looked spooky in,the pale moonlight,tonight.,B,Error: 'cemetary' should be 'cemetery' (ery).,,,8,58,18
Spelling_038,I am certain,that I locked,the front door,this morning.,N,No error.,,,12,52,14
Spelling_039,His caractor is,very honest and,kind to everyone,he meets.,A,Error: 'caractor' should be 'character' (char).,,,9,55,16
Spelling_040,The cheif of,police arrived at,the scene very,quickly.,A,Error: 'cheif' should be 'chief' (ief).,,,8,51,17
Spelling_041,The church chior,sang beautifully during,the service on,Sunday.,A,Error: 'chior' should be 'choir' (oir).,,,7,60,23
Spelling_042,Smoking a cigerette,is very bad,for your health,and lungs.,A,Error: 'cigerette' should be 'cigarette' (gar).,,,10,55,19
Spelling_043,We went to,the cinama to,watch the new,action movie.,B,Error: 'cinama' should be 'cinema' (nema).,,,10,49,13
