Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
The Antique Shop,1,"Stepping into the dimly lit shop, which smelled faintly of beeswax and old paper, Sarah felt a sudden shiver of (1) run down her spine.","anticipate","anticipation","anticipated","anticipating","anticipates",B
The Antique Shop,2," shelves, groaning under the weight of porcelain figures and brass instruments, seemed to (2) in toward her as she moved deeper into the room.","lean","leaned","leaning","leans","leaner",A
The Antique Shop,3,"Mr. Abernathy, the proprietor, peered over his spectacles, his eyes twinkling with a (3) that made Sarah feel both welcome and slightly uneasy.","know","knew","knowing","knowledge","knowingly",D
The Antique Shop,4,"""I have been expecting you,"" he whispered, his voice sounding like dry leaves (4) across a pavement.","scrape","scraped","scraping","scrapes","scraper",C
The Antique Shop,5,"Sarah, who had only stumbled upon the shop by accident, looked at him in (5) confusion.","utter","utterly","uttered","uttering","utterance",A
The Antique Shop,6,"""There is a particular item,"" he continued, moving towards a glass cabinet, ""that has been (6) for your arrival for many years.""","wait","waited","waiting","waits","waiter",C
The Antique Shop,7,"Inside the cabinet lay a silver locket, tarnished with age yet engagingly (7) to Sarah's eye.","beauty","beautiful","beautifully","beautify","beauties",B
The Antique Shop,8,"She felt an inexplicable (8) to reach out and touch the cold metal.","urge","urged","urging","urgent","urgency",A
The Antique Shop,9,"""Be careful,"" warned Mr. Abernathy, ""for objects such as this often carry a heavy (9).""","burden","burdened","burdening","burdens","burdensome",A
The Antique Shop,10,"Ignoring his warning, she grasped the locket, and immediately a flood of memories that were not her own (10) her mind.","invade","invaded","invading","invades","invader",B
The Antique Shop,11,"She saw a ballroom filled with dancers, heard music playing (11) in the distance, and felt a heart breaking in sorrow.","soft","soften","softly","softness","softer",C
The Antique Shop,12,"Gasping for breath, she dropped the locket, realising that some secrets are best left (12).","disturb","disturbed","undisturbed","disturbing","disturbance",C
Storm at Sea,1,"The Captain, gripping the wheel with white-knuckled hands, watched as the colossal wave (1) above the bow of the ship.","rise","rose","risen","rising","rises",B
Storm at Sea,2,"The wind, screaming through the rigging like a banshee, threatened to (2) the canvas sails into shreds at any moment.","tear","tore","torn","tearing","tears",A
Storm at Sea,3,"Below deck, the crew huddled together, their faces pale with (3) as the hull groaned under the immense pressure of the ocean.","anxious","anxiety","anxiously","anxiousness","angst",B
Storm at Sea,4,"""Hold fast!"" bellowed the First Mate, his voice barely (4) over the roar of the tempest.","audible","audit","audibly","audition","audience",A
Storm at Sea,5,"Water crashed onto the deck, sweeping away loose barrels and leaving a trail of (5) in its wake.","destruct","destroyed","destroying","destruction","destructive",D
Storm at Sea,6,"The ship listed heavily to the port side, causing everything not bolted down to (6) across the cabin floor.","slide","slid","sliding","slides","slider",A
Storm at Sea,7,"For a terrifying moment, it seemed as though the vessel would never (7) itself against the relentless assault of the waves.","right","righted","righting","rights","rightly",A
Storm at Sea,8,"Captain Haddock, however, was a man of great (8) and refused to yield to the fury of nature.","determined","determination","determine","determining","determines",B
Storm at Sea,9,"He steered the ship directly into the trough of the wave, praying that the timber would (9) the impact.","withstand","withstood","withstanding","withstands","withstandingly",A
Storm at Sea,10,"With a sickening crunch, the ship shuddered violently, but miraculously, it (10) afloat.","remain","remained","remaining","remains","remainder",B
Storm at Sea,11,"Gradually, the winds began to subside, and the mountainous seas (11) to a manageable swell.","less","lessen","lessened","lessening","lesson",C
Storm at Sea,12,"Exhausted but alive, the crew emerged on deck to see the sun breaking (12) through the dissipating storm clouds.","glory","glorious","gloriously","glories","glorified",C
The Hidden Valley,1,"After hacking through the dense undergrowth for three days, the explorers finally stumbled upon a valley that time seemed to have (1).","forget","forgot","forgotten","forgetting","forgets",C
The Hidden Valley,2,"Towering cliffs, sheered off as if by a giant knife, (2) the lush basin from the outside world.","protect","protected","protecting","protects","protection",B
The Hidden Valley,3,"A waterfall, cascading from the heights above, fed a crystal-clear lake that (3) like a sapphire in the sunlight.","spark","sparkle","sparkled","sparkling","sparkles",C
The Hidden Valley,4,"Dr. Evans, wiping the sweat from his brow, gazed in (4) at the flora that surrounded them.","amaze","amazed","amazing","amazement","amazes",D
The Hidden Valley,5,"""These species,"" he whispered, ""were thought to be (5) millions of years ago.""","extinct","extinction","extinguish","exit","exist",A
The Hidden Valley,6,"Giant ferns unfurled their fronds, and flowers the size of dinner plates emitted a (6) scent that hung heavy in the air.","head","heady","heading","headed","header",B
The Hidden Valley,7,"Suddenly, a screech echoed through the valley, a sound so primal it caused the team to freeze in (7).","terror","terrible","terrify","terrified","terrifies",A
